Cycle: 74	0.21299	0.9881	0.9939	0.78233	0.6446	0.6356
Cycle: 75	0.21232	0.9882	0.9940	0.78319	0.6437	0.6314
Cycle: 76	0.21183	0.9882	0.9936	0.78171	0.6454	0.6341
Cycle: 77	0.21228	0.9882	0.9935	0.78199	0.6452	0.6365
Cycle: 78	0.21175	0.9882	0.9935	0.78167	0.6456	0.6357
Cycle: 79	0.21216	0.9883	0.9938	0.77845	0.6491	0.6360
Cycle: 80	0.21197	0.9884	0.9935	0.77857	0.6489	0.6329
Cycle: 81	0.21224	0.9884	0.9938	0.78224	0.6446	0.6323
Cycle: 82	0.21197	0.9884	0.9938	0.78228	0.6446	0.6340
Cycle: 83	0.21227	0.9884	0.9936	0.78214	0.6448	0.6347
Cycle: 84	0.21283	0.9884	0.9936	0.78221	0.6447	0.6362
Cycle: 85	0.21270	0.9884	0.9935	0.77923	0.6479	0.6360
Cycle: 86	0.21307	0.9884	0.9929	0.77881	0.6484	0.6400
Cycle: 87	0.21358	0.9883	0.9932	0.77921	0.6479	0.6421
Cycle: 88	0.21338	0.9883	0.9929	0.77964	0.6475	0.6375
Cycle: 89	0.21314	0.9883	0.9930	0.77707	0.6503	0.6410
Cycle: 90	0.21323	0.9882	0.9930	0.77809	0.6493	0.6398
Cycle: 91	0.21347	0.9882	0.9934	0.77825	0.6492	0.6410
Cycle: 92	0.21355	0.9881	0.9932	0.77681	0.6507	0.6422
Cycle: 93	0.21390	0.9881	0.9929	0.77831	0.6490	0.6436
Cycle: 94	0.21420	0.9881	0.9931	0.77777	0.6497	0.6416
Cycle: 95	0.21411	0.9881	0.9934	0.77986	0.6474	0.6450
Cycle: 96	0.21383	0.9881	0.9935	0.77954	0.6477	0.6468
Cycle: 97	0.21349	0.9881	0.9932	0.77982	0.6475	0.6454
Cycle: 98	0.21381	0.9881	0.9929	0.77882	0.6485	0.6394
Cycle: 99	0.21317	0.9882	0.9936	0.78166	0.6453	0.6371
Cycle: 100	0.21320	0.9882	0.9934	0.78034	0.6468	0.6383
Cycle: 101	0.21235	0.9882	0.9934	0.78257	0.6442	0.6262
Cycle: 102	0.21232	0.9882	0.9935	0.78146	0.6454	0.6262
Cycle: 103	0.21284	0.9882	0.9939	0.78267	0.6440	0.6218
Cycle: 104	0.21280	0.9882	0.9940	0.78131	0.6455	0.6184
Cycle: 105	0.21230	0.9883	0.9940	0.78119	0.6456	0.6228
Cycle: 106	0.21272	0.9882	0.9940	0.78085	0.6460	0.6278
Cycle: 107	0.21302	0.9882	0.9940	0.78085	0.6460	0.6269
Cycle: 108	0.21261	0.9883	0.9942	0.78027	0.6467	0.6297
Cycle: 109	0.21238	0.9883	0.9940	0.78055	0.6463	0.6313
Cycle: 110	0.21359	0.9882	0.9940	0.77971	0.6473	0.6327
Cycle: 111	0.21330	0.9883	0.9933	0.78126	0.6455	0.6257
Cycle: 112	0.21333	0.9882	0.9933	0.78068	0.6461	0.6270
Cycle: 113	0.21331	0.9882	0.9932	0.78051	0.6462	0.6259
Cycle: 114	0.21310	0.9882	0.9934	0.78073	0.6459	0.6263
Cycle: 115	0.21269	0.9883	0.9931	0.78095	0.6457	0.6268
Cycle: 116	0.21301	0.9882	0.9930	0.78164	0.6448	0.6242
Cycle: 117	0.21324	0.9882	0.9929	0.78137	0.6452	0.6245
Cycle: 118	0.21301	0.9882	0.9928	0.77995	0.6468	0.6244
Cycle: 119	0.21241	0.9883	0.9927	0.77902	0.6478	0.6253
Cycle: 120	0.21254	0.9882	0.9927	0.77931	0.6475	0.6225
Cycle: 121	0.21259	0.9882	0.9927	0.77642	0.6508	0.6265
Cycle: 122	0.21320	0.9883	0.9927	0.77681	0.6503	0.6283
Cycle: 123	0.21322	0.9883	0.9924	0.77675	0.6504	0.6343
Cycle: 124	0.21362	0.9883	0.9925	0.77789	0.6491	0.6328
Cycle: 125	0.21316	0.9883	0.9924	0.77952	0.6472	0.6306
Cycle: 126	0.21339	0.9883	0.9926	0.78032	0.6463	0.6332
Cycle: 127	0.21333	0.9883	0.9920	0.78123	0.6452	0.6340
Cycle: 128	0.21276	0.9883	0.9920	0.78114	0.6454	0.6348
Cycle: 129	0.21280	0.9882	0.9923	0.78090	0.6456	0.6338
Cycle: 130	0.21257	0.9882	0.9926	0.78212	0.6442	0.6337
Cycle: 131	0.21285	0.9882	0.9926	0.78247	0.6438	0.6331
Cycle: 132	0.21321	0.9882	0.9926	0.78188	0.6445	0.6348
Cycle: 133	0.21303	0.9882	0.9926	0.78124	0.6452	0.6358
Cycle: 134	0.21230	0.9882	0.9926	0.78081	0.6457	0.6331
Cycle: 135	0.21279	0.9883	0.9919	0.78077	0.6458	0.6306
Cycle: 136	0.21273	0.9883	0.9927	0.78175	0.6446	0.6312
Cycle: 137	0.21239	0.9883	0.9925	0.78232	0.6439	0.6287
Cycle: 138	0.21195	0.9883	0.9925	0.78277	0.6434	0.6292
Cycle: 139	0.21258	0.9884	0.9925	0.78271	0.6435	0.6322
Cycle: 140	0.21213	0.9884	0.9927	0.78309	0.6430	0.6293
Cycle: 141	0.21258	0.9884	0.9927	0.78249	0.6437	0.6264
Cycle: 142	0.21224	0.9885	0.9927	0.78208	0.6442	0.6275
Cycle: 143	0.21173	0.9885	0.9927	0.78074	0.6457	0.6297
Cycle: 144	0.21222	0.9884	0.9927	0.78115	0.6453	0.6289
Cycle: 145	0.21202	0.9884	0.9931	0.78183	0.6445	0.6307
Cycle: 146	0.21187	0.9884	0.9929	0.78060	0.6459	0.6295
Cycle: 147	0.21175	0.9884	0.9929	0.78019	0.6464	0.6294
Cycle: 148	0.21147	0.9884	0.9929	0.78072	0.6458	0.6324
Cycle: 149	0.21110	0.9884	0.9929	0.78080	0.6457	0.6306
Cycle: 150	0.21069	0.9884	0.9929	0.78125	0.6452	0.6307
Cycle: 151	0.21054	0.9884	0.9927	0.78046	0.6461	0.6358
Cycle: 152	0.21060	0.9884	0.9929	0.78033	0.6462	0.6400
Cycle: 153	0.21072	0.9884	0.9927	0.78141	0.6450	0.6386
Cycle: 154	0.21066	0.9884	0.9926	0.78153	0.6448	0.6369
Cycle: 155	0.21049	0.9884	0.9927	0.78118	0.6452	0.6337
Cycle: 156	0.21045	0.9884	0.9927	0.78058	0.6459	0.6333
Cycle: 157	0.21049	0.9884	0.9928	0.78024	0.6463	0.6343
Cycle: 158	0.21081	0.9884	0.9927	0.78001	0.6466	0.6338
Cycle: 159	0.21071	0.9884	0.9925	0.78132	0.6451	0.6324
Cycle: 160	0.21071	0.9883	0.9925	0.77984	0.6468	0.6329
Cycle: 161	0.21060	0.9883	0.9924	0.78109	0.6454	0.6318
Cycle: 162	0.21082	0.9883	0.9925	0.78086	0.6456	0.6332
Cycle: 163	0.21089	0.9884	0.9925	0.78162	0.6447	0.6303
Cycle: 164	0.21073	0.9883	0.9926	0.78082	0.6457	0.6325
Cycle: 165	0.21080	0.9884	0.9926	0.78066	0.6458	0.6293
Cycle: 166	0.21089	0.9884	0.9926	0.78150	0.6449	0.6294
Cycle: 167	0.21104	0.9884	0.9927	0.78200	0.6443	0.6295
Cycle: 168	0.21132	0.9883	0.9926	0.78246	0.6438	0.6302
Cycle: 169	0.21108	0.9883	0.9926	0.78263	0.6436	0.6294
Cycle: 170	0.21106	0.9883	0.9926	0.78220	0.6440	0.6286
