32	214	1010	1114	2369	2452	2508	2604	3266	3496	3806	4258	4377	4428	4614	5030	5037	5106	6430	6646	6836	7030	7129	7947	7957	8720	8838	9093	9249	9545		 1.987
32	155	269	684	1121	1271	1379	1932	1989	2209	2369	2789	3175	3344	3756	5194	5324	5384	5439	5510	5672	5812	5823	6686	7265	7649	8538	9019	9482	9512		 2.067
60	946	1247	1464	1692	1815	1854	2369	2536	3092	3227	3246	3616	3674	4339	4361	4545	4828	5627	5823	6209	7301	7348	7671	8579	8812	9001	9025	9415	9555		 2.762
155	320	373	468	581	1383	1555	1847	1854	1931	2238	3545	3768	3955	4018	4038	4148	4718	4728	5708	5823	6022	7335	7821	8008	8579	8838	8846	8943	9440		 4.883
32	754	864	1163	1258	2369	2505	2801	3932	3969	4040	4056	4058	4164	5321	5350	5823	6585	6695	6903	7069	7157	7642	7874	7941	8023	8534	8838	8961	9170		 2.662
77	968	984	1121	1166	1335	1415	2369	2375	2829	2862	3317	3721	4694	4712	4736	5418	5511	5672	5678	5897	6598	6654	7787	8433	8579	8697	8918	8982	9251		 2.301
155	559	565	813	1114	2198	2256	2591	2746	3932	4038	4536	4638	4820	4906	4909	4990	5025	5092	5192	5315	5664	5672	5823	6127	8579	8752	8842	8894	8918		 3.180
155	182	796	1078	1121	1207	1379	1854	1906	3265	4467	4563	4614	4675	4748	4885	4975	5216	6530	6538	7227	7291	7294	7417	7838	8244	8579	8720	9371	9482		 2.752
155	454	780	958	1335	1336	1835	2114	2166	2369	5748	3395	3738	3983	4148	4615	4659	5108	5672	5747	5779	6119	6459	7069	7593	8226	8244	8720	9232	9295		 3.721
258	445	646	1122	1247	2188	2369	3125	3404	4139	4195	4510	4521	4858	5341	5542	5672	6200	6290	6729	6935	7227	7389	4552	7642	7958	8129	8721	9296	9556		 6.085
154	454	748	944	1533	1560	2015	2280	2308	2369	3785	3944	4614	4623	4928	5075	5672	5696	6433	6808	7035	8132	8266	8284	8289	8369	8579	8622	8658	8937		 2.678
155	490	1241	1247	1454	1854	2166	2405	2471	2540	3060	3776	4038	4485	4614	5122	5439	5672	5698	5057	6252	6550	6836	6985	7069	7942	8244	8720	9166	9482		 2.795
155	247	472	1113	1268	1392	1790	1815	2000	2368	2369	3468	3563	3623	3898	4148	4627	4948	5483	6139	7370	7417	7543	7667	7872	8003	8182	8766	9148	9482		 3.979
155	627	678	864	893	910	984	1469	1620	2127	2369	2917	3337	3344	3575	3788	3982	3990	4040	4614	4629	5033	5196	6669	8250	8388	8579	8701	8824	9101		 2.651
419	454	715	1121	1188	1247	2036	2507	2543	2568	2976	3005	3331	3406	3436	3568	3661	3970	4714	5320	5439	5672	5886	7554	8283	8457	8835	8838	8910	9455		 5.638
82	261	402	454	484	817	991	2369	2468	2913	3344	4087	4215	4622	4868	5012	8805	5806	6836	6989	7421	7642	7718	7846	8183	8579	8971	9040	9446	9482		 2.553
1	472	489	732	1842	1871	1884	2237	2278	2599	3138	4472	4614	4682	4683	4820	4868	5310	5566	5685	5689	5840	7389	7814	8642	8714	8838	9148	9455	9498		 3.228
472	750	770	1121	1247	1414	2065	2270	2369	2801	2817	3024	3945	4337	4390	4671	4712	4960	5324	5672	5854	6353	7201	8283	8325	8825	8838	8842	9100	9211		 3.985
155	580	1392	1616	2599	2736	2854	2891	3266	3554	4191	4216	4323	4568	4928	5295	5590	5693	5832	5853	6598	6489	6711	8208	8579	8691	8718	8846	9068	9545		 2.683
444	454	1272	1336	1496	1560	1677	2237	2624	3882	4437	4614	4933	5037	5099	5214	5377	5775	5849	5953	6234	6296	6561	7417	7994	8448	8579	8925	9388	9544		 2.727
326	454	473	478	540	946	1168	1247	1418	1562	1773	1989	2353	2567	4906	4980	5106	5369	5823	6347	6762	6977	8686	8718	8838	8866	9139	9267	9332	9455		 2.387
121	764	875	1141	1335	1424	1854	1884	2003	2395	2532	3165	3529	4339	4868	4945	5250	6601	6641	6686	7227	7313	7417	7604	7874	8537	8579	8868	9380	9482		 2.606
91	194	1091	1183	1247	1833	1847	2245	2853	3836	3990	4195	4339	4376	4556	4614	5750	5777	6498	6551	6712	6808	7126	8023	8258	8579	8796	8884	8925	9599		 1.988
75	155	567	1121	1247	1784	1989	3042	3098	3165	3392	4105	4558	4590	4614	5273	5672	1740	6197	6207	6856	7069	7227	7397	7445	7701	8579	8718	9096	9599		 2.788
125	975	1113	1115	1760	2369	2808	2812	2853	3232	3324	3424	3646	3884	4517	4801	4928	4984	5302	5590	5613	5746	5811	6968	7069	8030	8543	8579	8842	9482		 2.229
237	391	527	743	1148	1202	1275	1815	1912	2369	2412	2525	2540	3344	3836	4122	4573	4614	4723	4798	5537	6572	6809	6892	7212	7543	7547	7845	8579	9304		 2.000
136	155	532	700	1114	1121	1183	1698	2003	2369	3160	3575	3848	4058	4148	4614	4707	4842	6127	6674	6836	6935	7233	7255	8023	8106	8317	8579	9040	9054		 1.727
648	1235	2369	2532	2542	2819	3436	3688	3697	3723	3757	4285	4655	5202	5227	5300	6187	6412	7069	7415	7793	7864	7873	7991	8264	8838	8925	9212	9381	9468		 2.552
251	471	771	1168	1450	1507	1884	2369	2769	2931	3124	3433	3700	4112	4533	4614	4928	5041	5106	5823	5881	6671	6730	6969	8220	8283	8718	8842	8846	9482		 1.853
155	194	708	1093	1247	1414	1427	1521	5270	2369	2425	3638	3649	4621	4868	4963	5156	5221	5499	5638	5672	5777	6872	7832	7907	8350	8474	8718	8838	8940		 5.164
671	937	1247	1448	1483	2241	2328	2412	2750	2759	3523	3765	3810	3932	4137	4558	4614	5020	5987	6060	6701	6979	7389	8517	7604	7657	7763	7846	8662	8813		 4.199
251	595	1121	1725	1750	1938	2469	2598	2639	2968	3043	3266	3808	4148	4229	5043	5106	5228	6057	6160	6591	7076	7642	7842	8072	8561	8579	8641	8925	9575		 3.085
155	454	700	1346	1589	1846	1899	2341	2369	2727	3876	4148	4428	4619	4786	4909	5036	5106	5796	5806	5823	6482	7069	7471	7657	8207	8283	8579	8815	9599		 2.807
454	802	1105	1378	1428	1514	1738	2745	3596	4112	4398	2547	4678	4906	5099	5518	5608	5672	6119	6654	6845	7035	7111	7212	7635	8741	8842	9006	9040	9482		 2.807
155	900	1023	1121	1537	2151	2369	2399	2448	2824	3306	3423	4148	4428	4614	4911	4960	5341	6116	6231	6606	6748	6936	7404	7417	8017	8440	8579	8800	9492		 3.529
155	465	1346	1644	2369	2768	2061	3300	3922	4385	4845	4906	5251	5439	5672	5891	6400	6705	6903	7069	7297	7565	7846	8208	8593	8656	8838	8962	9468	9528		 3.959
155	858	1110	1247	2232	2369	2438	2591	2736	3418	4064	4148	4614	4719	4906	5188	5271	5503	5570	5622	5672	5710	6546	7149	7313	8579	8601	8838	8918	9545		 3.535
419	454	2048	2369	2395	2964	3145	3216	3515	3840	3857	4393	4614	5210	5439	5584	6194	6646	6977	7069	7390	7525	7777	8296	8342	8718	8861	8940	9312	9331		 2.405
214	303	855	1123	1508	1571	1854	2077	2369	4339	4451	4365	4614	4906	4963	5373	5439	5444	5672	5849	6654	6762	6819	7955	8150	8406	8410	8925	9295	9338		 2.561
89	109	709	827	893	1114	1690	1740	3390	3444	3688	3733	3847	4056	4614	4797	5453	5745	5777	6022	6457	6579	7331	8045	8283	8579	8720	8814	9210	9599		 3.809
155	449	454	482	530	651	1121	1982	2156	2423	2876	2922	3086	3266	4476	4565	4614	5037	5462	5862	6477	6653	7395	8289	8579	8760	8875	8895	9366	9482		 4.254
159	454	637	641	1335	1429	1881	1969	2369	3639	4112	4148	4931	5003	5134	5254	5510	5672	5929	6052	6691	6987	7035	7591	7657	8003	8861	8884	9006	9430		 1.925
98	854	1121	1773	1936	1989	2292	2369	2517	2660	2706	2779	3120	3344	3523	3571	3715	4906	6033	6139	6368	7578	7870	7981	8069	8134	8244	8718	9427	9475		 3.641
155	1088	1163	1392	1416	1706	1854	2028	2369	2465	2549	3266	3299	3688	4572	4784	5205	5439	6191	6502	6640	6869	7348	7454	7512	7732	8579	8743	8918	9209		 2.265
651	705	763	1113	1446	1873	2223	2369	3014	3423	4148	4271	4275	4726	5976	6081	6363	6436	7369	7376	7417	7784	8579	8701	8718	8720	9305	9386	9475	9492		 4.973
405	886	1121	1289	1852	2369	2570	2677	2808	2915	2960	3394	4007	4018	4038	4148	4295	5179	5305	5703	6072	6373	7279	7348	7825	8006	8023	8384	8632	9437		 4.125
104	155	249	641	732	1085	1267	2369	2737	3158	4283	615	4614	4829	5037	5074	5495	6043	6060	6282	6701	6961	7313	7743	8003	8551	8838	9331	9475	9481		 4.030
32	125	167	454	1114	1121	1247	1706	2217	2222	2387	2416	3198	3209	4195	4718	4906	5106	5194	5289	5644	8046	6856	8060	8201	8579	8732	8783	8925	9130		 3.674
194	965	1522	1854	1899	2131	2369	2640	2801	2910	3239	3413	4337	4554	4614	4997	5823	6208	6398	6654	6672	7165	7250	7273	7746	8369	8579	8833	8866	9358		 2.800
109	145	629	979	7972	1121	1138	1335	1603	2115	2166	2591	3266	3594	4143	4382	4614	5672	5812	6145	7227	7417	7453	7461	7732	8283	8969	9035	9212	9262		 2.538
155	225	1029	1247	2166	2803	3749	8868	4040	4095	4148	4596	4820	5439	5672	6762	6897	7069	7211	7425	7547	7587	7598	8336	8431	8435	8579	8610	8785	9473		 3.096
